data_publicacao,titulo,link
2024-01-05 08:00:00,"Prisões por reconhecimento facial avançam pelo país, mas erros em série desafiam tecnologia de combate ao crime - O Globo",https://news.google.com/rss/articles/CBMi-wFBVV95cUxOTlo3ZS1Lc2NXeUNmWlRwNS0wdTlwNEp2YzQ2MTMwbUlhVVIxelVLVEFCZEhQMkN1SEVKTEc2NlhwbW9pVWFhTWlaVVl1WDJMS3h2Q0taRTdFYWtoVEl6c2RyY1BPaDlZTG5zVkpkUzhCR1k0bGZwcC14MXdPMGFWM3RGbVZCM3c3WFFoVW8tX1dob0t3Z0lDRWE0eHhIVUctbnE2UXZZU1dBXzBGenFsSDdjQjZsM2pBS0tlTXlpdnYwanZ3STZkOWVncmhqbEotZ0w0MkNaQldhc3N5R0k5TDByeU9IREQ5RTNtSFh0NXhILUpONmFHZ2hnY9IBigJBVV95cUxPZzJsT3F3eG5YZlVQV2sxM3RCZk82SzhSQVh3RnhvaVJSQmhndVNOMGxsVXRRcG51cTA1NlVpSVFQZmw5ekRmcmdwWEduZVprRkNlRHUwejEyMGQ3NnJxUl9vLTZPdllkb1lCY2ZQMWJRWXlISUpKcXE2dVN6NnZ3N1JORjkwNmpscFJzQ25IUFJwVFlldU9nX1dYVXpqenk1cXdCdDV5UUtRdDh3TVFPb0dqT0dxOGJGbUd1UFJFV2UwMEU2MFNlNXRPY1RUQkhSSGZYc1lFMXFmUzE2OFZNc09oTG9YUlNGWWlSS2JORm9pTHRYR1ktVnZWdWl5X04wbF9RMEpkM3NUZw?oc=5
2024-01-05 08:00:00,Dois dos quatro presos por reconhecimento facial no Rio de Janeiro são liberados - CNN Brasil,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPdWc0NXdjT3RIbkk1eFZKbEFlMWtyM2RJNVJCTnNGNFJzZExyd2pqaVUzWndQdGF3eXdDeEg0eFJyR2NfdHpBRzA3cmtlX3NMYzZueXE4b2FnMkd2cXB1TTFkZkpiQmdwaGlCRU5KaS04TlRGRFhNcTlfdUNhOVppbS1FS2NGbUdKYkJmQ0hET3hQVUlXRUxkQnhnRGM2SEtEOEluSE9CLUxOU0xSUmJhX3FfbUhYMjQ4ZzQ4?oc=5
2024-01-04 08:00:00,Mulher presa após reconhecimento facial é solta; mandado de prisão já tinha sido cumprido - G1,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQdWc4Y2ZGVVo5Uk5fUHpzZnh1anJUeHcxb0E5VFZjanZMMTlFTS1wbkptMHpGaWZPMVVEcmViWGthRTlDZ0MzSzVZWENOYlVkWXFiVl93Z0U1dVJqRnZucEhORjVKZ0J4Y2xYQlZPcUdRMUpZTjdJSjFNZFpPTkRrY0JfRV9GYW9wLV9sU2dreC1QdkJ4NFVkSWYwdnFWYnhiNEtmbHVORWxYVWMyRnI1VEMyaUxHRWtCRGlmWjMyZGRuWXB4bC1ac1lybkRjckF3ZFNIdlFhaWxUdkc3WUZ5TXFfMG5MMmfSAfYBQVVfeXFMTnd0ajNkVHRpYU5MczBlTWpmcXhOWDE4bkx4ZUNHaDU3bXYxWk9FcG9sXzZ2S0hMT1NWUS05LUx6ZDVQT1lOR1ViNXA4OHVuSHBwVlQ2X0s3QXY3ck5tU0JtbVBkR2pVMi1HNWJlUHhGSl9XRWNTb0xyZFo1U2owckRjN1NkSW1reFFITVpYa3pIbDd3bDFVaUNsZDJtYURyd2dYd0VMdGx4QmYycmwxN1RucDBBM24xUndhakdzNmV6NldockxrVFBEcC05ZkM0REc2T1c0YXJTRVd4UFF4cGVsWHJfTjRpVjk5dncxNld4d1J2ZjVn?oc=5
2024-01-04 08:00:00,Mulher identificada por reconhecimento facial em Copacabana é solta após erro em sistema ser constatado - O Globo,https://news.google.com/rss/articles/CBMirgJBVV95cUxPcnJKQTA1ZTFxb0JWLVVabmlsWEVLamNTY05zWFctbmtJRS1pa21XWkRONHNKbmp4UGVvTWpSUi1PbjJYeEJQN1U5VGtfZXZNSTRBamo2TlFqeC1JYy04OUdGcmU2M2VEbjEybnBaSndEZFUzNThSMEJmcXhXQmlrLW1wVnU5cDJZMTl2akFCMWZXdWRzR3hMUktTX0prenlrUTByZU1FM3dxem14QW52RzRENHNxLUowT2dJa3ZxUVRodGRRSzdvMnhFc0NqLVhJZ3ZZRWNvY1pYWVlJMkpQRGs4S0NHUDRVTzR5WkpiUFItanZ0bGNtYTZULWhZc2V0LS1ueGkzLUZ5eUZBRXp4UDRHM0k2Zmo4YnV1eHY0bDRQWWxrbWltR1g2eUNNUdIBvAJBVV95cUxOcUxabHVlaVVLNWhqR2tjQVhsTnN1ZDlTUzcyMzRYMGMxbl9GTDZfbmZRdVpZRkpJUjE3ak5MLXNWTlQ2M2k4WVVyeW1CaFBKY2tmMlFVN0ZGenlrcWFENnJnZk01MnRVZlg0b01MTUkycnF5NlNDQjctSGpnOXpvUXoxYVdJZFNuZ29saVBqdlc2UWVtSl9LNElTU0RMZWUxUlZuWmtBOVdlTmwzOUJudUVSR21uRFlzWnY0S25kY2ZPNTdnWlpzU09FZlFvS0xSUkkwbjlmZDVOclltU2RUWWxVYXRFeGc0VEhMc0Y5eGhhMVB2c1lnaXNsU2QzMUZjY2NwNWxkai1ucW44b3I2blA0SlpDYV9vT1Y0ajYyMnFBeWczRDVHc2M5TEVzVFV0d2pSSXRlaUwtdmZY?oc=5
2023-12-23 08:00:00,"Não comprovar trabalho lícito não justifica prisão preventiva, decide STJ - Consultor Jurídico",https://news.google.com/rss/articles/CBMisAFBVV95cUxPanRLcUVra19RS3JnSDQ5REpOTnFFQ0F5UjVZT1A3YkV0c0J6WHlobF85Qlg0TncteXJZcEphTk05S0VtdVFzcm1HVzNZbDUyd3dWbS11YTktRjlNdlRMM3I1ZGkzbGFBV1NIUnpfVmNnU21OMWlUQWhsRHZEaHFGcnlBVzNPRFdqUWpoa004c09iWWFwNUpWTjh4enUtTzYxcmk1RnRUV05kN2E4bkozQQ?oc=5
2023-11-16 08:00:00,"PM ""se confunde"" e prende mulher em festa após erro da IA - Poder360",https://news.google.com/rss/articles/CBMipAFBVV95cUxNc1d1dmo5UlItRy03bDE3eW96d1RpQ202dHpZRDRvVER3T0NBWGpHVl9rRmg1T2V3N1h4a2JuMGRNUHUtZGdGR2RUaW1YX3BqVWVjbjNteDhFR09NMnVOUl9yc2dCSlFudVg1ZVRzUVJpSzMwWG9MQk8yRFV4Y19zOUFfcE5CN2p2M1BZd1Q0dHJBdC13elY3ZTZuQjB0djFzTlo3dQ?oc=5
2023-10-06 07:00:00,RJ: Jovem negro acusado por reconhecimento facial é inocentado pela terceira vez - Brasil de Fato,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPRHJ6eFFlYU52bU1aUXNUb2pRczE2eWNJWnJ3dENEYnBfTlZOckppeEVrUWZYaDd4OXNXRV9EXzctOHhLdW1nSVhwa19xNEFmY25qbWdNVG5YZjdpXzRBZzRUc1FuNmttcVdsX0lXZXc4Smc3b1ZoZHA2cnNDODFfXzlaTll5NXJ6UzVlZ2xnM0JtakRBTUZOTnd0d1EwWWQtVVNnQXdvRldjcG1JaXFueFlfTndsZmxlZ1JoVzJWczE?oc=5
2023-10-02 07:00:00,"Curitiba usa reconhecimento facial como ferramenta na segurança pública sem ter regulação específica: 'Sociedade de controle', critica especialista - G1",https://news.google.com/rss/articles/CBMipgJBVV95cUxPcUJWY3VCU2F3QmFfcXhEYnNvS3B3YWdORjhYTXFGdzQ2QnR4c3NnVElPY2JBWGNTQ1JfcXZaWGRIMXp2MWI0VzNhTElIVnRzek5zdVFMR3ZQV09vblJjTWRoX2xqVVJ6MGZwTWZXNHdNd2lWaV9kRmNLVkYyQV9WeElmelp3MXJtd29SQWdnSFZZS2p0VVI2bnB0ODVsZ2E3cXo5UzVkSG5LYkFiYU5TOVdLRWxkTWZ2TWQwV1p3SkdZUWR3OWpkRWhGb0FDRzN4S1RpdmZDTUQzMDRPaV9oUWlqSmFoV1VTSEdsTE9WcHZ4bmpNR0liblpRRFVhZHVfZEZMcHIzcmZvVm1JWTMwb3VqLUJYa25JNlB3R1hzd0E3S0dTcEHSAbQCQVVfeXFMT3ludGJLY3lha1hWc2tndVE1aGZkS3VGU0Z5enpiYTd3Vy1CWEZmTGd3aUlBQVBOdE9xYWpUOWxJY3JsN3dySVJXb1p4QWRQOVlrQkdlSVhEOW9Gd3g5NXo4M0RXdlJYdWNkYkZZYTZXb1J4N0tnY29Bd3JJVW43dDJ5MHVrZ3hRQVdxcVpSNlV0MXFnRmhaeGtpQmgyV3laRTlXY2F6ektsSU5tVTA5U3l3MEMwbGhmZXJ5YlVNVHBCRzBIOUZ1NHp1eXBTal9qdDl5TVBLYXVQUDhrYWJxV3ZLYmpmZXNiUmV0QXlfRk1KTGRTV0UwNkgxTDFsYVNJdTZYandoVVpmQ2xTTDllS0I4UXdnSkxhRjQwMWg4QVVwMFFObEhISV9hTFBVN01KRTVtakY?oc=5
2023-09-22 07:00:00,Palmeiras ajuda polícia a prender 28 pessoas com biometria facial no Allianz Parque - Estadão,https://news.google.com/rss/articles/CBMikwFBVV95cUxQQnRqeXY4bTVMallVUkdKWHM4alEtTldsVHJGNVVrOUg5Sm1ySG13Wk9zNS1DR0VWWWtiWklISXhoRUxSX3BJS25HMzFjMUdIaWx6QjBjV3RiRUJuY2RmVTBJOTJJckwweE9QSnVseS1veUhUMDJSS0U4Z1FjaVpRNE9wNTNIMnZuMl9HY3FVbU5lWWfSAZgBQVVfeXFMT0ZwdzUzSXBDZl9xdmlMSWVCU0E3bkNZTURCYUU5V1pjZmtXZWJFOWxiZlNHZ3hTbVUzdEJJM0E1THAyaktfSzJjdlFuaE9LM1o3MFF2NVJudXl6LW9nX3FTblY2aEdlYnZydkVOWGttVVl4Qlc4aTJxcEVoVTc0X2sxdlVUdUVfU25WdExFZGE4anRHYWNDaXM?oc=5
2023-09-01 07:00:00,"Com mais de mil prisões na BA, sistema de reconhecimento facial é criticado por 'racismo algorítmico'; inocente ficou preso por 26 dias - G1",https://news.google.com/rss/articles/CBMilAJBVV95cUxQZmd6b2FJZEpCUXBVbDJtUzV1cGRYMXRudjFVdlg5MW44OGotSnE3MlpubUxmR3Q3QkU4QzRkU3pDRlNqa0hUNS0wRGtHVlVzS01qc0x1LV8zRFhDM01WbzZrOTVtc3VKa3NZNTVKQVpRaEdmZnhZeVpKdmxxeUx6ZTE2RmFrang4dzRuQWJjbTRWYk91aElMbXhoMDhOMVZqR09xM1hPclBrdzN6dGpGVFg5YWpISlRIcjBVYzlqc0d1WDY1ZUNzV1hOT1ZRX090eXVMQW5mbmxHSnloSEFOSWYzbnFJdEpOVTZ3a3k1SDZlTzdabnRkWFJBeUxZYUtWV0VSd1NVTlNScGp3SkE5LUZkX1_SAaMCQVVfeXFMTzZFRW1mY012VUhDOVhVLWlvT0cxUUE5MFNpX20xRnFlanoxNUhnSkdhRXBwQU85YjByeU5Lc1B0eXJwUDY1WmZtNVRZTFN6WVE5ckVOejJSc0dlYjN2ZVdubGNoZ0FpQzQtcFNXM1RUVUEwbV9jU0d2cXJ0bURUcDVXUHdXbjRQSVJjaGQxUjVFaVZSanVqRzEyWmVsRlo5dk10NmFzWEJrbDNVQUZOd3U3am4wNkF5LS0tMldFMFpDVWFvbHdVV1ZvRFFmbXE4R1pOYWp2RFlndFFPUDA0SUUyVjVabU9MMFhPdGtCQXItbXY1aUk5cG40VFFOWXl5WUpQbFZXNTcwQXFiTHR4dWZQNFFFckRxN1V1bFNNMldnenB3?oc=5
