titulo,fonte,quantidade_aparicoes,link
Europa: Homonacionalismo e racismo,Revista CULT,1,https://revistacult.uol.com.br/home/europa-homonacionalismo-e-racismo/
Cambistas burlam sistemas de reconhecimento facial nos estádios,Blog do Ricardo Antunes,1,https://ricardoantunes.net/cambistas-burlam-sistemas-de-reconhecimento-facial-nos-estadios/
"Quem é Maria Beatriz Nascimento, intelectual negra incluída no Livro dos Heróis e Heroínas",Revista Fórum,1,https://revistaforum.com.br/cultura/2023/10/31/quem-foi-maria-beatriz-nascimento-intelectual-negra-incluida-no-livro-dos-herois-heroinas-146935.html
Sete teses sobre a peculiaridade da desigualdade social brasileira,Revista Fórum,1,https://revistaforum.com.br/opiniao/2020/7/29/sete-teses-sobre-peculiaridade-da-desigualdade-social-brasileira-79858.html
Traços de câncer são encontrados em múmia egípcia de 2 mil anos,Globo,1,https://revistagalileu.globo.com/Ciencia/Arqueologia/noticia/2022/07/tracos-de-cancer-sao-encontrados-em-mumia-egipcia-de-2-mil-anos.html
Como a discriminação da comunidade LGBTQIA+ se associa à crise climática,Globo,1,https://revistagalileu.globo.com/Ciencia/Meio-Ambiente/noticia/2021/06/como-discriminacao-da-comunidade-lgbtqia-se-associa-crise-climatica.html
13 livros sobre racismo que vão te ajudar a lutar contra o preconceito,Globo,1,https://revistagalileu.globo.com/Cultura/Livros/noticia/2020/06/13-livros-sobre-racismo-que-irao-te-ajudar-lutar-contra-o-preconceito.html
Alexandre Dumas: saiba mais sobre o autor de 'Os Três Mosqueteiros',Globo,1,https://revistagalileu.globo.com/Cultura/noticia/2018/07/alexandre-dumas-saiba-mais-sobre-o-autor-de-os-tres-mosqueteiros.html
Nos olhos de quem vê,Globo,1,https://revistagalileu.globo.com/Revista/noticia/2016/07/software-de-reconhecimento-facial-identifica-terroristas.html
Reconhecimento facial: prós e contras da tecnologia que veio para ficar,Globo,1,https://revistagalileu.globo.com/Tecnologia/noticia/2020/06/reconhecimento-facial-pros-e-contras-da-tecnologia-que-veio-para-ficar.html
Samara Filippo defende menina que teve o cabelo cacheado alisado por madrasta sem autorização,Globo,1,https://revistamarieclaire.globo.com/Celebridades/noticia/2018/07/samara-filippo-defende-menina-que-teve-o-cabelo-alisado-por-madrasta-sem-autorizacao.html
"""Jamais menti sobre meu teste"", diz Carla Zambelli sobre Covid-19",Globo,1,https://revistamarieclaire.globo.com/Comportamento/noticia/2020/08/jamais-menti-sobre-meu-teste-diz-carla-zambelli-sobre-covid-19.html
Apropriação cultural na moda: caso no Peru reacende polêmica,Revista Fórum,1,https://revistaforum.com.br/moda/2024/12/11/apropriao-cultural-na-moda-caso-no-peru-reacende-polmica-170818.html
"Júri popular do caso Ana Caroline Campelo acontecerá no dia 5 de novembro, dois anos após o crime",Revista Afirmativa,1,https://revistaafirmativa.com.br/juri-do-caso-ana-caroline-campelo/
Tom Morello e Zack de la Rocha boicotam espaços com reconhecimento facial,Rolling Stone Brasil,1,https://rollingstone.com.br/musica/tom-morello-e-zack-de-la-rocha-boicotam-espacos-com-reconhecimento-facial/
"Maior comunidade poligâmica dos EUA é comandada da cadeia por homem que, aos poucos, institui uma guerra civil",Rolling Stone Brasil,1,https://rollingstone.com.br/noticia/maior-comunidade-poligamica-dos-eua-e-comandada-da-cadeia-por-homem-que-aos-poucos-institui-uma-guerra-civil/
O Globo | Carros da PM terão câmeras para identificar suspeitos na rua,Instituto Sou da Paz,1,https://soudapaz.org/noticias/o-globo-carros-da-pm-terao-cameras-para-identificar-suspeitos-na-rua/
Confira o cronograma de ingressos com lote promocional para a partida entre Sport x Fluminense,Sport Club do Recife,1,https://sportrecife.com.br/futebol/confira-o-cronograma-de-ingressos-com-lote-promocional-para-a-partida-entre-sport-x-fluminense/
Confira o cronograma de ingressos com lotes promocionais para Sport x Ceará pelas quartas do Nordestão,Sport Club do Recife,1,https://sportrecife.com.br/futebol/confira-o-cronograma-de-ingressos-com-lotes-promocionais-para-sport-x-ceara-pelas-quartas-do-nordestao/
O reconhecimento da literatura negra: uma parte da questão,Sul 21,1,https://sul21.com.br/colunasronald-augusto/2019/06/o-reconhecimento-da-literatura-negra-uma-parte-da-questao/
Desigualdade racial no Judiciário: 'Como se identificar com uma profissão em que você não se enxerga?',Sul 21,1,https://sul21.com.br/noticias/geral/2020/11/desigualdade-racial-no-judiciario-como-se-identificar-com-uma-profissao-em-que-voce-nao-se-enxerga/
A COP de Belém pode incluir pela primeira vez direitos dos afrodescendentes em documentos do clima,SUMAÚMA - Jornalismo do Centro do Mundo,1,https://sumauma.com/a-cop-de-belem-pode-incluir-pela-primeira-vez-direitos-dos-afrodescendentes-em-documentos-do-clima/
Por que os nomes das estações do metrô de São Paulo estão mudando?,Summit Mobilidade,1,https://summitmobilidade.estadao.com.br/urbanismo/por-que-os-nomes-das-estacoes-do-metro-de-sao-paulo-estao-mudando/
Micronacionalismo: o hobby de quem governa países de mentira,Superinteressante,1,https://super.abril.com.br/especiais/micronacionalismo-o-hobby-de-quem-governa-paises-de-mentira/
D'avó Supermercados implementa pagamento por biometria facial,SuperVarejo,1,https://supervarejo.com.br/varejo/davo-supermercados-implementa-pagamento-por-biometria-facial
Ela entrou viva e saiu sem vida: bebê de 6 meses morre após exame em hospital de Rio Preto,Tanabi Noticias,1,https://tanabinoticias.com.br/noticia/2764/ela-entrou-viva-e-saiu-sem-vida-bebe-de-6-meses-morre-apos-exame-em-hospital-de-rio-preto
Novo app vai utilizar reconhecimento facial para achar desconhecidos na internet,Tecnoblog,1,https://tecnoblog.net/noticias/app-nametag-reconhecimento-facial-para-achar-pessoas/
É bem difícil burlar o Face ID do iPhone X usando uma máscara,Tecnoblog,1,https://tecnoblog.net/noticias/burlar-face-id-mascara-iphone-x/
Londres terá câmeras de reconhecimento facial em tempo real,Tecnoblog,1,https://tecnoblog.net/noticias/londres-cameras-reconhecimento-facial-tempo-real/
Metrô de SP abre licitação por câmeras com reconhecimento facial,Tecnoblog,1,https://tecnoblog.net/noticias/metro-sao-paulo-abre-licitacao-cameras-reconhecimento-facial/
Reconhecimento facial pode auxiliar investigações contra invasão em Brasília,Tecnoblog,1,https://tecnoblog.net/noticias/reconhecimento-facial-pode-auxiliar-investigacoes-contra-invasao-em-brasilia/
Infraestrutura é fundamental para telemedicina não virar fator de desigualdade,TeleSíntese,1,https://telesintese.com.br/infraestrutura-e-fundamental-para-telemedicina-nao-virar-fator-de-desigualdade/
